h,G,Nm,chi,mag,C,m1,m2,m3,m4,m5,m6,m7
0.41500000000000004,2.672927435827104,0.0,5.575207518119231e-12,0.27473583682261526,1.4251047871279356,0.12992362805024849,0.1299236697600471,1.9718579054013767e-07,2.8356902302627755e-07,2.826116330822575e-07,2.593022567738359e-07,1.8412121857217577e-07
0.42,2.6759989813594096,0.0,4.361781938463557e-12,0.27814247251792146,1.4244577407487995,0.12839464710213183,0.1283946366768776,1.676327959518136e-07,2.990196014920123e-07,2.3862186957006557e-07,1.7958671968566152e-07,1.2279984385282094e-07
0.425,2.6791083657189465,0.0,2.6676768240814427e-11,0.2815463307690851,1.422826450473945,0.12683557259134967,0.12683533074210995,1.217278723644529e-07,1.9167107765830068e-07,1.6561897428041982e-07,3.892998700254942e-07,2.2348713134079772e-07
0.43,2.6822555803046977,0.0,5.339965750898944e-12,0.284952840270556,1.4218012202848462,0.12524532087070403,0.1252453979676456,2.0006009078249866e-07,2.877993411928413e-07,3.822320707453449e-07,6.091021994913248e-07,9.568539636593481e-08
0.435,2.6854406126844164,0.0,1.7252578433550062e-11,0.28835403714522934,1.4202083197194029,0.12362348422161706,0.12362339597032426,2.2285604621333486e-07,3.010959292449791e-07,1.785174693589033e-07,1.3744927081763442e-07,2.3404182009580928e-07
0.44,2.6886634496280553,0.0,1.4291098255453019e-11,0.2917569228149117,1.4191968706366576,0.12196873358666561,0.1219686556636739,1.6296612792382105e-07,2.545694528974158e-07,1.858870329948372e-07,1.8885540492275313e-07,1.7331744501753458e-07
0.445,2.691924075355133,0.0,2.5642175568689408e-11,0.295155790014179,1.4181900017831843,0.12028014359067069,0.12028011738168518,1.5329738136402332e-07,8.506193021857195e-08,2.0351494992994753e-07,1.9108729507131764e-07,2.251692883613228e-07
0.45,2.695222465745096,0.0,1.119571698502203e-11,0.2985560910316618,1.4172277022612283,0.11855665677855608,0.11855649635359083,2.423455262314377e-07,1.8333687278831293e-07,1.604897360146702e-07,2.7872463716745464e-07,3.119513034172768e-07
0.455,2.6985585980232565,0.0,1.6147790775229787e-11,0.3019512930267675,1.4157033997455049,0.11679682025345701,0.11679691330253682,1.8673617846894123e-07,4.7508936529954e-08,1.6274503999422208e-07,2.513688945945373e-07,2.220438198913023e-07
0.46,2.701932450348335,0.0,1.688723096426694e-11,0.30534226355639194,1.4146557561488942,0.11499961891509926,0.11499946132702832,1.2556174275707528e-07,3.7428857643486123e-07,2.2384608297735006e-07,1.8305530491960465e-07,2.3440242541075777e-07
