p,h,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.15000000000000002,0.7000000000000001,100.51603103486428,2.0,-0.3315105411556243,0.35048523807783577,0.3505139131456705,0.3503812231081602,0.07138540651669775,0.07138547552600832,0.0713932398966304,0.022411428040480776
0.15000000000000002,0.8,104.31844049051816,2.0,-0.33670114441968246,0.3408407707950763,0.3408748139617336,0.3409643283633782,0.07058098610509952,0.07057628408022966,0.0705660597147403,0.012062990348324393
0.15000000000000002,0.9,108.6714464416822,2.0,-0.32682470279981685,0.32939617668123916,0.3293346032630643,0.32935894375482694,0.06926388646867686,0.06926977355741776,0.06926450274012207,0.0023297311963061665
0.15000000000000002,1.0,113.6260528081941,2.0,-0.2684980694398118,0.31374730798820055,0.3137983229190345,0.3148218817342749,0.06679414934403047,0.066765184411367,0.06677593118789243,0.008716231078827425
0.15000000000000002,1.1,119.28420203559067,2.0,-0.1625407064137232,0.292910338551445,0.29329147258985594,0.2927397950296125,0.06216583105394083,0.06215103406368483,0.062180547711166385,0.011890873101074364
0.15000000000000002,1.2000000000000002,125.6700216649427,0.0,9.642015404334874e-11,4.0572668112010855e-05,4.6364652005853495e-05,0.4640867447534577,2.0932364037704126e-06,2.8751629022115887e-06,3.61452562456168e-06,2.225762646002006e-06
0.15000000000000002,1.3,133.17026928983302,0.0,-3.5771560176546334e-10,6.196555815934075e-05,6.32632739537131e-05,0.4298369697547856,4.81086864653817e-06,3.379528187744436e-06,5.3158266586225564e-06,3.0449153630661264e-06
0.15000000000000002,1.4000000000000001,141.08189694633995,0.0,-6.662054159231103e-10,0.39366542850698494,0.00015066640764646206,4.3919749337371725e-05,3.575843492832096e-06,4.3891822246357196e-06,6.917303803267117e-06,3.5516486994434422e-06
0.15000000000000002,1.5,149.37047344652674,0.0,-6.914351172698434e-10,0.00010167549952929899,0.00011482313160474905,0.35492406697482154,1.7054530322471431e-06,3.86538961855255e-06,2.970794350296461e-06,2.931726895175701e-06
0.15000000000000002,1.6,158.00745280315212,0.0,-8.864342240665564e-11,5.3315484090772385e-05,0.3125668889925242,5.41310727460254e-05,5.47401326315256e-06,2.561329138929837e-06,3.962143958909185e-06,2.1475067591951173e-06
0.15000000000000002,1.7000000000000002,166.96895256900044,0.0,-4.346717023006206e-10,0.26474515793407066,0.00035665585571782813,0.0003231098661501786,3.0237694889522078e-06,2.1904972658508295e-06,2.4246838868462393e-06,3.8923107408350885e-06
0.15000000000000002,1.8,176.23493437713486,0.0,-3.2218547116760037e-09,0.0007799185647862642,0.0009605803749517768,0.20756295456872997,1.9540072226222452e-06,1.662892896403044e-06,3.0283509988049816e-06,1.5868737117449323e-06
0.15000000000000002,1.9000000000000001,185.79614154523392,0.0,-1.3814807846807792e-09,0.001031856056938456,0.12904160926941852,0.0019017850344767064,3.871071654269849e-06,4.1600148688763065e-06,4.828151226355406e-06,5.745868642790974e-06
0.15000000000000002,2.0,195.62088986430285,0.0,7.762224930341758e-19,5.543120458548461e-07,4.2829277880171674e-07,3.44223261295016e-07,1.0385880134417835e-06,7.4143162782141e-07,7.259879939610616e-07,1.3257578867364947e-06
0.15000000000000002,2.1,205.50691482951396,0.0,-2.1094498429783846e-18,6.87002425614758e-07,5.714754106940758e-07,5.054482168607596e-07,1.3660109054023038e-06,1.2213155313515049e-06,1.1859905511447508e-06,1.26179198129777e-06
0.15000000000000002,2.2,215.39526808754368,0.0,2.333721663881635e-19,1.8179456167398466e-07,1.9649132951275276e-07,2.0709123310097004e-07,6.296201692540801e-07,5.553298386898978e-07,4.30159480275105e-07,5.207265334177222e-07
0.15000000000000002,2.3000000000000003,225.28578717369928,0.0,2.8622595185177665e-19,6.676491710894708e-07,6.97866323130408e-07,7.33407599644235e-07,1.431672885110783e-06,1.239456141905784e-06,1.7466716647371375e-06,1.76205357361547e-06
0.15000000000000002,2.4000000000000004,235.1783244422429,0.0,8.211548906293124e-20,2.431923798972232e-07,2.031623614851432e-07,1.3427714453456167e-07,3.75705966344379e-07,3.52072228414708e-07,7.963459935748341e-07,6.412453286957846e-07
0.15000000000000002,2.5,245.07275921648076,0.0,-3.0695297979333234e-25,1.2709672163290905e-08,6.330470337169556e-09,4.191041541545447e-09,2.7444266077324914e-09,2.580440782808378e-09,2.5540804279245443e-09,2.146764701342325e-09
0.15000000000000002,2.6,254.9689832740896,0.0,-5.719261615876045e-21,8.884540072066557e-08,5.821442151381579e-08,8.030008860758466e-08,1.99371860866257e-07,1.5299675367147077e-07,1.9450908103799614e-07,1.7902396687090642e-07
0.15000000000000002,2.7,264.8668826605384,0.0,-2.2565255629713887e-20,2.629162080277869e-07,2.7207593285614834e-07,3.009240885581229e-07,5.451161500109149e-07,6.466179440546982e-07,5.784250703890845e-07,5.732213218452266e-07
0.15000000000000002,2.8000000000000003,274.76637940595685,0.0,2.8630044593739943e-23,5.919017452681836e-09,9.783193860538116e-09,5.772676109550307e-09,1.3200632430913034e-08,9.498312705773976e-09,1.064110550788166e-08,9.969957184355256e-09
0.15000000000000002,2.9000000000000004,284.6673967685238,0.0,1.5319628553956016e-25,7.545937994563372e-09,2.772870660094195e-09,1.924759889874659e-09,2.099943582068049e-09,1.1994022095019921e-09,4.914823293363762e-10,1.510689727746726e-09
0.15000000000000002,3.0,294.5698499366953,0.0,1.5262075093521548e-25,2.9133111237223717e-09,2.668868660147863e-09,1.3254430473714916e-09,4.398306087618895e-09,4.539130283468164e-09,1.5383659451322508e-09,1.427764998948307e-09
0.2,0.0,83.55768393837103,8.0,-9.798327224461586e-06,0.3791205733743435,0.37912392069459805,0.37912257479368955,0.08123636328289607,0.08123618492455113,0.08123756651734095,0.08123740252085618
0.2,0.1,83.79616686304242,8.0,-0.03944714624973543,0.3785726149331627,0.3785693997668991,0.37857027264983983,0.08108827623754036,0.08108743395911854,0.08108744822924696,0.0796265165431785
0.2,0.2,84.51948783494485,8.0,-0.08672530602645391,0.3768629743753647,0.376882162866181,0.3768398422909395,0.08059317297488297,0.08059432240089982,0.08059387749599897,0.07478902262090785
0.2,0.30000000000000004,85.74857329880383,8.0,-0.1473831995167838,0.37386833299464994,0.3738597965443796,0.3738393790933364,0.07968246935243187,0.0796807664977609,0.07968311121430317,0.06684117719287182
0.2,0.4,87.50959658784494,8.0,-0.21920599650390168,0.36942278908106263,0.3693747187353899,0.3694090332446841,0.07841983855913175,0.07842363103962373,0.07842131398320773,0.05630767297865515
0.2,0.5,89.82591023887467,2.0,-0.2815378006103436,0.36666453050806747,0.35819278100137664,0.36495779111075477,0.07732457587392726,0.0771444814349834,0.07729662540370827,0.04328568063118704
